#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      4.0895      0.7344
      4.0903      0.7276
      4.0912      0.7208
      4.0920      0.7140
      4.0929      0.7072
      4.0937      0.7004
      4.0946      0.6936
      4.0954      0.6868
      4.0963      0.6800
      4.0971      0.6732
      4.0980      0.6664
      4.0988      0.6596
      4.0997      0.6528
      4.1005      0.6443
      4.1014      0.6346
      4.1022      0.6250
      4.1031      0.6153
      4.1039      0.6057
      4.1048      0.5960
      4.1056      0.5864
      4.1065      0.5767
      4.1073      0.5670
      4.1082      0.5574
      4.1090      0.5477
      4.1099      0.5380
      4.1107      0.5284
      4.1116      0.5187
      4.1124      0.5090
      4.1133      0.4993
      4.1141      0.4897
      4.1150      0.4800
      4.1159      0.4703
      4.1167      0.4606
      4.1176      0.4509
      4.1184      0.4412
      4.1193      0.4316
      4.1201      0.4219
      4.1210      0.4122
      4.1218      0.4025
      4.1227      0.3928
      4.1236      0.3831
      4.1244      0.3734
      4.1253      0.3637
      4.1261      0.3540
      4.1270      0.3442
      4.1278      0.3345
      4.1287      0.3248
      4.1295      0.3151
      4.1304      0.3078
      4.1313      0.3030
      4.1321      0.2983
      4.1330      0.2936
      4.1338      0.2889
      4.1347      0.2842
      4.1356      0.2795
      4.1364      0.2747
      4.1373      0.2700
      4.1381      0.2653
      4.1390      0.2606
      4.1398      0.2558
      4.1407      0.2511
      4.1416      0.2464
      4.1424      0.2416
      4.1433      0.2369
      4.1441      0.2322
      4.1450      0.2275
      4.1459      0.2227
      4.1467      0.2180
      4.1476      0.2132
      4.1485      0.2085
      4.1493      0.2038
      4.1502      0.1990
      4.1510      0.1943
      4.1519      0.1896
      4.1528      0.1848
      4.1536      0.1801
      4.1545      0.1753
      4.1553      0.1706
      4.1562      0.1658
      4.1571      0.1611
      4.1579      0.1564
      4.1588      0.1516
      4.1597      0.1469
      4.1605      0.1421
      4.1614      0.1374
      4.1623      0.1326
      4.1631      0.1278
      4.1640      0.1231
      4.1648      0.1183
      4.1657      0.1136
      4.1666      0.1088
      4.1674      0.1041
      4.1683      0.0993
      4.1692      0.0946
      4.1700      0.0899
      4.1709      0.0882
      4.1718      0.0865
      4.1726      0.0847
      4.1735      0.0830
      4.1744      0.0813
      4.1752      0.0795
      4.1761      0.0778
      4.1770      0.0761
      4.1778      0.0743
      4.1787      0.0726
      4.1796      0.0709
      4.1804      0.0691
      4.1813      0.0674
      4.1822      0.0657
      4.1830      0.0639
      4.1839      0.0622
      4.1848      0.0604
      4.1856      0.0587
      4.1865      0.0570
      4.1874      0.0552
      4.1883      0.0535
      4.1891      0.0517
      4.1900      0.0500
      4.1909      0.0483
      4.1917      0.0465
      4.1926      0.0448
      4.1935      0.0430
      4.1943      0.0413
      4.1952      0.0396
      4.1961      0.0378
      4.1970      0.0361
      4.1978      0.0343
      4.1987      0.0326
      4.1996      0.0309
      4.2004      0.0298
      4.2013      0.0293
      4.2022      0.0289
      4.2031      0.0285
      4.2039      0.0280
      4.2048      0.0276
      4.2057      0.0272
      4.2066      0.0267
      4.2074      0.0263
      4.2083      0.0258
      4.2092      0.0254
      4.2100      0.0250
      4.2109      0.0245
      4.2118      0.0241
      4.2127      0.0237
      4.2135      0.0232
      4.2144      0.0228
      4.2153      0.0224
      4.2162      0.0219
      4.2170      0.0215
      4.2179      0.0210
      4.2188      0.0206
      4.2197      0.0202
      4.2206      0.0197
      4.2214      0.0193
      4.2223      0.0188
      4.2232      0.0184
      4.2241      0.0180
      4.2249      0.0175
      4.2258      0.0171
      4.2267      0.0167
      4.2276      0.0162
      4.2284      0.0158
      4.2293      0.0153
      4.2302      0.0149
      4.2311      0.0145
      4.2320      0.0140
      4.2328      0.0136
      4.2337      0.0131
      4.2346      0.0127
      4.2355      0.0123
      4.2364      0.0118
      4.2372      0.0114
      4.2381      0.0109
      4.2390      0.0105
      4.2399      0.0101
      4.2407      0.0100
      4.2416      0.0100
      4.2425      0.0100
      4.2434      0.0100
      4.2443      0.0100
      4.2452      0.0100
      4.2460      0.0100
      4.2469      0.0100
      4.2478      0.0100
      4.2487      0.0100
      4.2496      0.0100
      4.2504      0.0100
      4.2513      0.0100
      4.2522      0.0100
      4.2531      0.0100
      4.2540      0.0100
      4.2549      0.0100
      4.2557      0.0100
      4.2566      0.0100
      4.2575      0.0100
